Ano,Período,Código,Nome,Turma,Horário,Nota,Situação
2009,1,EMC0123,LABORATÓRIO DE CONVERSÃO ELETROMECÂN DE ENERGIA 1,-,-,-,CANCELADA
2009,1,INF0198,SISTEMAS DISTRIBUÍDOS 1,-,-,-,CANCELADA
2009,1,EMC0105,INTRODUÇÃO À ROBÓTICA DE MANIPULADORES,-,-,-,CANCELADA
2009,1,EMC0243,TÓPICOS EM ENGENHARIA DE CONTROLE E AUTOMAÇÃO 2,-,-,-,CANCELADA
2009,1,EMC0246,TÓPICOS EM ENGENHARIA DE SISTEMAS DE INFORMAÇÃO 1,-,-,-,CANCELADA
2009,1,INQ0161,QUÍMICA GERAL EXPERIMENTAL,-,-,-,CANCELADA
2009,1,FAL0477,REDAÇÃO E EXPRESSÃO I,-,-,-,CANCELADA
2009,1,INF0006,ALGORITMOS E PROGRAMAÇÃO 1,-,-,-,CANCELADA
2009,1,INF0008,ALGORITMOS E PROGRAMAÇÃO 2,-,-,-,CANCELADA
2009,1,IME0067,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IME0068,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 2,-,-,-,CANCELADA
2009,1,EMC0079,FENÔMENOS DE TRANSPORTE PARA ENG DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,IFI0072,FÍSICA EXPERIMENTAL PARA ENG DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IFI0106,FÍSICA PARA ENG DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IME0233,PROBABILIDADE E ESTATÍSTICA,-,-,-,CANCELADA
2009,1,INQ0151,QUÍMICA EXPERIMENTAL PARA ENGENHARIA DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,INQ0122,QUÍMICA  PARA ENGENHARIA DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,EMC0084,FUNDAMENTOS DE LÓGICA,-,-,-,CANCELADA
2009,2,IFI0112,FÍSICA 1,-,-,-,CANCELADA
2009,2,INQ0158,QUÍMICA GERAL B,-,-,-,CANCELADA
2009,2,IFI0158,LABORATÓRIO DE FÍSICA 1,-,-,-,CANCELADA
2009,2,INQ0161,QUÍMICA GERAL EXPERIMENTAL,-,-,-,CANCELADA
2009,1,INF0006,ALGORITMOS E PROGRAMAÇÃO 1,-,-,-,CANCELADA
2009,1,INF0008,ALGORITMOS E PROGRAMAÇÃO 2,-,-,-,CANCELADA
2009,1,IME0067,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IME0068,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 2,-,-,-,CANCELADA
2009,1,EMC0079,FENÔMENOS DE TRANSPORTE PARA ENG DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,IFI0072,FÍSICA EXPERIMENTAL PARA ENG DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IFI0106,FÍSICA PARA ENG DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IME0233,PROBABILIDADE E ESTATÍSTICA,-,-,-,CANCELADA
2009,1,INQ0151,QUÍMICA EXPERIMENTAL PARA ENGENHARIA DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,INQ0122,QUÍMICA  PARA ENGENHARIA DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,EMC0084,FUNDAMENTOS DE LÓGICA,-,-,-,CANCELADA
2009,1,INF0006,ALGORITMOS E PROGRAMAÇÃO 1,-,-,-,CANCELADA
2009,1,IME0067,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IFI0072,FÍSICA EXPERIMENTAL PARA ENG DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IFI0106,FÍSICA PARA ENG DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,INF0065,ESTRUTURAS DE DADOS 1,-,-,-,CANCELADA
2009,1,EMC0084,FUNDAMENTOS DE LÓGICA,-,-,-,CANCELADA
2009,1,CAT0360,SISTEMAS DE INFORMAÇÃO,-,-,-,CANCELADA
2009,1,INF0020,ASPECTOS TEÓRICOS DA COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,IME0280,UMA INTRODUÇÃO AOS MODELOS MATEMÁTICOS,-,-,-,CANCELADA
2009,1,INF0006,ALGORITMOS E PROGRAMAÇÃO 1,-,-,7.50,APROVADO
2009,1,IME0067,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IME0068,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 2,-,-,8.00,APROVADO
2009,1,IFI0072,FÍSICA EXPERIMENTAL PARA ENG DE COMPUTAÇÃO 1,-,-,7.00,APROVADO
2009,1,IFI0106,FÍSICA PARA ENG DE COMPUTAÇÃO 1,-,-,5.70,APROVADO
2009,1,IFI0107,FÍSICA PARA ENG DE COMPUTAÇÃO 2,-,-,7.70,APROVADO
2009,1,EMC0156,METODOLOGIA CIENTÍFICA,-,-,-,CANCELADA
2009,1,INQ0151,QUÍMICA EXPERIMENTAL PARA ENGENHARIA DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,INQ0122,QUÍMICA  PARA ENGENHARIA DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,EMC0084,FUNDAMENTOS DE LÓGICA,-,-,6.50,APROVADO
2009,1,EMC0121,LABORATÓRIO DE CIRCUITOS LÓGICOS,-,-,5.00,APROVADO
2009,1,IFI0112,FÍSICA 1,-,-,-,CANCELADA
2009,1,IME0075,CÁLCULO 1A,-,-,-,CANCELADA
2009,1,IFI0158,LABORATÓRIO DE FÍSICA 1,-,-,-,CANCELADA
2009,1,EMC0101,INTRODUÇÃO À ENGENHARIA DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,FAL0195,INGLÊS INSTRUMENTAL,-,-,-,CANCELADA
2009,1,EMC0003,ÁLGEBRA LINEAR E GEOMETRIA ANALÍTICA,-,-,-,CANCELADA
2009,1,INF0006,ALGORITMOS E PROGRAMAÇÃO 1,-,-,-,CANCELADA
2009,1,INF0008,ALGORITMOS E PROGRAMAÇÃO 2,-,-,-,CANCELADA
2009,1,IME0067,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IME0068,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 2,-,-,-,CANCELADA
2009,1,IME0069,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 3,-,-,-,CANCELADA
2009,1,IFI0073,FÍSICA EXPERIMENTAL PARA ENG DE COMPUTAÇÃO 2,-,-,-,CANCELADA
2009,1,IFI0107,FÍSICA PARA ENG DE COMPUTAÇÃO 2,-,-,-,CANCELADA
2009,1,EMC0155,MECÂNICA E RESISTÊNCIA DOS MATERIAIS,-,-,-,CANCELADA
2009,1,IME0233,PROBABILIDADE E ESTATÍSTICA,-,-,-,CANCELADA
2009,1,INQ0151,QUÍMICA EXPERIMENTAL PARA ENGENHARIA DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,INQ0122,QUÍMICA  PARA ENGENHARIA DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,INF0017,ARQUITETURA DE COMPUTADORES 1,-,-,-,CANCELADA
2009,1,EMC0020,CIRCUITOS ELÉTRICOS 1,-,-,-,CANCELADA
2009,1,EMC0024,CIRCUITOS LÓGICOS,-,-,-,CANCELADA
2009,1,INF0038,COMPUTAÇÃO GRÁFICA,-,-,-,CANCELADA
2009,1,INF0065,ESTRUTURAS DE DADOS 1,-,-,-,CANCELADA
2009,1,INF0066,ESTRUTURAS DE DADOS 2,-,-,-,CANCELADA
2009,1,EMC0084,FUNDAMENTOS DE LÓGICA,-,-,-,CANCELADA
2009,1,EMC0118,LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,-,-,-,CANCELADA
2009,1,EMC0121,LABORATÓRIO DE CIRCUITOS LÓGICOS,-,-,-,CANCELADA
2009,1,EMC0220,SISTEMAS OPERACIONAIS,-,-,-,CANCELADA
2009,1,EMC0011,ARQUITETURA DE COMPUTADORES 2,-,-,-,CANCELADA
2009,1,INF0213,TÓPICOS AVANÇADOS EM PROGRAMAÇÃO,-,-,-,CANCELADA
2009,1,FAF0033,FILOSOFIA CONTEMPORÂNEA ANALÍTICA,-,-,-,CANCELADA
2009,1,FAL0477,REDAÇÃO E EXPRESSÃO I,-,-,-,CANCELADA
2009,1,IME0061,CÁLCULO NUMÉRICO,-,-,-,CANCELADA
2009,1,IME0067,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IME0068,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 2,-,-,5.30,APROVADO
2009,1,IME0069,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 3,-,-,-,CANCELADA
2009,1,EMC0042,DESENHO,-,-,-,CANCELADA
2009,1,IFI0026,ELETROMAGNETISMO,-,-,5.00,APROVADO
2009,1,IFI0072,FÍSICA EXPERIMENTAL PARA ENG DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IFI0073,FÍSICA EXPERIMENTAL PARA ENG DE COMPUTAÇÃO 2,-,-,-,CANCELADA
2009,1,IFI0106,FÍSICA PARA ENG DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IFI0107,FÍSICA PARA ENG DE COMPUTAÇÃO 2,-,-,5.00,APROVADO
2009,1,EMC0155,MECÂNICA E RESISTÊNCIA DOS MATERIAIS,-,-,-,CANCELADA
2009,1,INQ0151,QUÍMICA EXPERIMENTAL PARA ENGENHARIA DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,INQ0122,QUÍMICA  PARA ENGENHARIA DE COMPUTAÇÃO,-,-,5.00,APROVADO
2009,1,EMC0055,ELETRÔNICA 1,-,-,-,CANCELADA
2009,1,EMC0084,FUNDAMENTOS DE LÓGICA,-,-,-,CANCELADA
2009,1,EMC0125,LABORATÓRIO DE ELETRÔNICA 1,-,-,-,CANCELADA
2009,1,IFI0051,EVOLUÇÃO DA FÍSICA I,-,-,-,CANCELADA
2009,1,IFI0052,EVOLUÇÃO DA FÍSICA II,-,-,-,CANCELADA
2009,1,IFI0096,FÍSICA MATEMÁTICA II,-,-,-,CANCELADA
2009,1,IFI0165,MECÂNICA,-,-,-,CANCELADA
2009,1,FAL0195,INGLÊS INSTRUMENTAL,-,-,-,CANCELADA
2009,1,EMC0003,ÁLGEBRA LINEAR E GEOMETRIA ANALÍTICA,-,-,-,CANCELADA
2009,1,INF0006,ALGORITMOS E PROGRAMAÇÃO 1,-,-,-,CANCELADA
2009,1,INF0008,ALGORITMOS E PROGRAMAÇÃO 2,-,-,-,CANCELADA
2009,1,IME0067,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IME0068,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 2,-,-,-,CANCELADA
2009,1,IME0069,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 3,-,-,-,CANCELADA
2009,1,EMC0019,CIÊNCIAS DO AMBIENTE,-,-,-,CANCELADA
2009,1,FAD0063,DIREITO PARA ENGENHARIA DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,EMC0079,FENÔMENOS DE TRANSPORTE PARA ENG DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,IFI0072,FÍSICA EXPERIMENTAL PARA ENG DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IFI0073,FÍSICA EXPERIMENTAL PARA ENG DE COMPUTAÇÃO 2,-,-,-,CANCELADA
2009,1,IFI0106,FÍSICA PARA ENG DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IFI0107,FÍSICA PARA ENG DE COMPUTAÇÃO 2,-,-,-,CANCELADA
2009,1,IME0233,PROBABILIDADE E ESTATÍSTICA,-,-,-,CANCELADA
2009,1,INQ0151,QUÍMICA EXPERIMENTAL PARA ENGENHARIA DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,INQ0122,QUÍMICA  PARA ENGENHARIA DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,EMC0020,CIRCUITOS ELÉTRICOS 1,-,-,-,CANCELADA
2009,1,EMC0024,CIRCUITOS LÓGICOS,-,-,-,CANCELADA
2009,1,INF0038,COMPUTAÇÃO GRÁFICA,-,-,-,CANCELADA
2009,1,EMC0055,ELETRÔNICA 1,-,-,-,CANCELADA
2009,1,INF0065,ESTRUTURAS DE DADOS 1,-,-,-,CANCELADA
2009,1,INF0066,ESTRUTURAS DE DADOS 2,-,-,-,CANCELADA
2009,1,EMC0084,FUNDAMENTOS DE LÓGICA,-,-,-,CANCELADA
2009,1,EMC0118,LABORATÓRIO DE CIRCUITOS ELÉTRICOS 1,-,-,-,CANCELADA
2009,1,EMC0121,LABORATÓRIO DE CIRCUITOS LÓGICOS,-,-,-,CANCELADA
2009,1,EMC0125,LABORATÓRIO DE ELETRÔNICA 1,-,-,-,CANCELADA
2009,1,INF0125,LINGUAGENS FORMAIS,-,-,-,CANCELADA
2009,1,INF0183,REDES DE COMPUTADORES 1,-,-,-,CANCELADA
2009,1,EMC0220,SISTEMAS OPERACIONAIS,-,-,-,CANCELADA
2009,1,EMC0011,ARQUITETURA DE COMPUTADORES 2,-,-,-,CANCELADA
2009,1,INF0213,TÓPICOS AVANÇADOS EM PROGRAMAÇÃO,-,-,-,CANCELADA
2009,1,FAF0033,FILOSOFIA CONTEMPORÂNEA ANALÍTICA,-,-,-,CANCELADA
2009,1,FAL0477,REDAÇÃO E EXPRESSÃO I,-,-,-,CANCELADA
2009,1,INF0142,MONTADORES,-,-,-,CANCELADA
2009,1,INF0006,ALGORITMOS E PROGRAMAÇÃO 1,-,-,-,CANCELADA
2009,1,INF0008,ALGORITMOS E PROGRAMAÇÃO 2,-,-,-,CANCELADA
2009,1,IME0067,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IME0068,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 2,-,-,-,CANCELADA
2009,1,IME0069,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 3,-,-,-,CANCELADA
2009,1,EMC0079,FENÔMENOS DE TRANSPORTE PARA ENG DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,IFI0072,FÍSICA EXPERIMENTAL PARA ENG DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IFI0106,FÍSICA PARA ENG DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IFI0107,FÍSICA PARA ENG DE COMPUTAÇÃO 2,-,-,-,CANCELADA
2009,1,IME0233,PROBABILIDADE E ESTATÍSTICA,-,-,-,CANCELADA
2009,1,INQ0151,QUÍMICA EXPERIMENTAL PARA ENGENHARIA DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,INQ0122,QUÍMICA  PARA ENGENHARIA DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,INF0017,ARQUITETURA DE COMPUTADORES 1,-,-,-,CANCELADA
2009,1,EMC0024,CIRCUITOS LÓGICOS,-,-,-,CANCELADA
2009,1,INF0065,ESTRUTURAS DE DADOS 1,-,-,-,CANCELADA
2009,1,EMC0084,FUNDAMENTOS DE LÓGICA,-,-,-,CANCELADA
2009,1,EMC0121,LABORATÓRIO DE CIRCUITOS LÓGICOS,-,-,-,CANCELADA
2009,1,INF0020,ASPECTOS TEÓRICOS DA COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,INF0142,MONTADORES,-,-,-,CANCELADA
2009,1,EMC0003,ÁLGEBRA LINEAR E GEOMETRIA ANALÍTICA,-,-,-,CANCELADA
2009,1,INF0006,ALGORITMOS E PROGRAMAÇÃO 1,-,-,-,CANCELADA
2009,1,INF0008,ALGORITMOS E PROGRAMAÇÃO 2,-,-,-,CANCELADA
2009,1,IME0067,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IME0068,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 2,-,-,-,CANCELADA
2009,1,IME0069,CÁLCULO PARA ENGENHARIA DE COMPUTAÇÃO 3,-,-,-,CANCELADA
2009,1,EMC0079,FENÔMENOS DE TRANSPORTE PARA ENG DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,IFI0072,FÍSICA EXPERIMENTAL PARA ENG DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IFI0073,FÍSICA EXPERIMENTAL PARA ENG DE COMPUTAÇÃO 2,-,-,-,CANCELADA
2009,1,IFI0106,FÍSICA PARA ENG DE COMPUTAÇÃO 1,-,-,-,CANCELADA
2009,1,IFI0107,FÍSICA PARA ENG DE COMPUTAÇÃO 2,-,-,-,CANCELADA
2009,1,IME0233,PROBABILIDADE E ESTATÍSTICA,-,-,-,CANCELADA
2009,1,INQ0151,QUÍMICA EXPERIMENTAL PARA ENGENHARIA DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,INQ0122,QUÍMICA  PARA ENGENHARIA DE COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,INF0017,ARQUITETURA DE COMPUTADORES 1,-,-,-,CANCELADA
2009,1,EMC0024,CIRCUITOS LÓGICOS,-,-,-,CANCELADA
2009,1,INF0038,COMPUTAÇÃO GRÁFICA,-,-,-,CANCELADA
2009,1,INF0065,ESTRUTURAS DE DADOS 1,-,-,-,CANCELADA
2009,1,INF0066,ESTRUTURAS DE DADOS 2,-,-,-,CANCELADA
2009,1,EMC0084,FUNDAMENTOS DE LÓGICA,-,-,-,CANCELADA
2009,1,EMC0121,LABORATÓRIO DE CIRCUITOS LÓGICOS,-,-,-,CANCELADA
2009,1,EMC0011,ARQUITETURA DE COMPUTADORES 2,-,-,-,CANCELADA
2009,1,FAF0025,FILOSOFIA,-,-,-,CANCELADA
2009,1,INF0020,ASPECTOS TEÓRICOS DA COMPUTAÇÃO,-,-,-,CANCELADA
2009,1,FAC0070,ECONOMIA DO AGRONEGÓCIO,-,-,-,CANCELADA
